4000|4000|bct|river|v|4000x4000|x=4000&y=4000&re=bct
4000|4000|bct|road|t|4000x4000|x=4000&y=4000&re=bct
4000|4000|bct|road|r|4000x4000|x=4000&y=4000&re=bct
4000|4000|bct|road|l|4000x4000|x=4000&y=4000&re=bct
4000|4000|bct|road|h|4000x4000|x=4000&y=4000&re=bct
4000|4000|bct|road|b|4000x4000|x=4000&y=4000&re=bct
3998|3998|bct|road|t|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|tb|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|ta|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|b|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|bb|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|ba|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|l|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|lb|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|la|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|r|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|rb|3998x3998|x=3998&y=3998&re=bct
3998|3998|bct|road|ra|3998x3998|x=3998&y=3998&re=bct
3998|3999|bct|hill|47,47,19,19|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|t|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|tb|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|ta|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|b|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|bb|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|ba|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|l|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|lb|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|la|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|r|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|rb|3998x3999|x=3998&y=3999&re=bct
3998|3999|bct|road|ra|3998x3999|x=3998&y=3999&re=bct
3998|4000|bct|hill|0,0,50,70|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|t|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|tb|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|ta|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|b|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|bb|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|ba|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|l|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|lb|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|la|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|r|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|rb|3998x4000|x=3998&y=4000&re=bct
3998|4000|bct|road|ra|3998x4000|x=3998&y=4000&re=bct
